target,class,bin,bin_min,bin_max,n,pred_mean,true_rate,abs_gap
Q1,0,1,0.0,0.1,6,0.0878572463989258,0.3333333333333333,0.24547608693440753
Q1,0,2,0.1,0.2,7,0.16003858191626413,0.14285714285714285,0.017181439059121284
Q1,0,3,0.2,0.30000000000000004,9,0.28405014011594987,0.1111111111111111,0.17293902900483876
Q1,0,4,0.30000000000000004,0.4,71,0.3449848017222445,0.4225352112676056,0.07755040954536113
Q1,0,5,0.4,0.5,192,0.4544406592225035,0.4791666666666667,0.0247260074441632
Q1,0,6,0.5,0.6000000000000001,96,0.5453334034730991,0.5416666666666666,0.00366673680643248
Q1,0,7,0.6000000000000001,0.7000000000000001,37,0.6598409680095879,0.5675675675675675,0.09227340044202037
Q1,0,8,0.7000000000000001,0.8,28,0.7387929468282631,0.8571428571428571,0.11834991031459396
Q1,0,9,0.8,0.9,3,0.852295329173406,1.0,0.147704670826594
Q1,0,10,0.9,1.0,1,0.9008108228445054,1.0,0.09918917715549458
Q1,1,1,0.0,0.1,1,0.0991891771554946,0.0,0.0991891771554946
Q1,1,2,0.1,0.2,3,0.147704670826594,0.0,0.147704670826594
Q1,1,3,0.2,0.30000000000000004,28,0.26120705317173687,0.14285714285714285,0.11834991031459402
Q1,1,4,0.30000000000000004,0.4,37,0.34015903199041214,0.43243243243243246,0.09227340044202031
Q1,1,5,0.4,0.5,96,0.45466659652690095,0.4583333333333333,0.003666736806432369
Q1,1,6,0.5,0.6000000000000001,192,0.5455593407774965,0.5208333333333334,0.02472600744416309
Q1,1,7,0.6000000000000001,0.7000000000000001,71,0.6550151982777556,0.5774647887323944,0.07755040954536119
Q1,1,8,0.7000000000000001,0.8,9,0.7159498598840501,0.8888888888888888,0.1729390290048387
Q1,1,9,0.8,0.9,7,0.8399614180837359,0.8571428571428571,0.017181439059121173
Q1,1,10,0.9,1.0,6,0.9121427536010742,0.6666666666666666,0.2454760869344076
Q2,0,2,0.1,0.2,7,0.11379842247281756,0.2857142857142857,0.17191586324146813
Q2,0,3,0.2,0.30000000000000004,15,0.2794095277786255,0.4,0.12059047222137453
Q2,0,4,0.30000000000000004,0.4,100,0.3553461331129074,0.27,0.0853461331129074
Q2,0,5,0.4,0.5,217,0.45574737391713577,0.576036866359447,0.12028949244231119
Q2,0,6,0.5,0.6000000000000001,108,0.5287229278021388,0.32407407407407407,0.20464885372806474
Q2,0,7,0.6000000000000001,0.7000000000000001,3,0.6549820701281229,0.6666666666666666,0.011684596538543701
Q2,1,4,0.30000000000000004,0.4,3,0.345017929871877,0.3333333333333333,0.011684596538543701
Q2,1,5,0.4,0.5,108,0.47127707219786114,0.6759259259259259,0.2046488537280648
Q2,1,6,0.5,0.6000000000000001,217,0.5442526260828642,0.423963133640553,0.12028949244231119
Q2,1,7,0.6000000000000001,0.7000000000000001,100,0.6446538668870926,0.73,0.0853461331129074
Q2,1,8,0.7000000000000001,0.8,15,0.7205904722213745,0.6,0.12059047222137453
Q2,1,9,0.8,0.9,7,0.8862015775271824,0.7142857142857143,0.17191586324146813
Q3,0,2,0.1,0.2,27,0.14903725076604774,0.2222222222222222,0.07318497145617447
Q3,0,3,0.2,0.30000000000000004,79,0.23549907946888404,0.25316455696202533,0.01766547749314129
Q3,0,4,0.30000000000000004,0.4,87,0.3565460443496704,0.42528735632183906,0.06874131197216865
Q3,0,5,0.4,0.5,194,0.4463110200523101,0.4793814432989691,0.033070423246658986
Q3,0,6,0.5,0.6000000000000001,55,0.5473885297775268,0.43636363636363634,0.11102489341389049
Q3,0,7,0.6000000000000001,0.7000000000000001,8,0.6138411574065685,0.0,0.6138411574065685
Q3,1,4,0.30000000000000004,0.4,8,0.3861588425934315,1.0,0.6138411574065685
Q3,1,5,0.4,0.5,55,0.45261147022247317,0.5636363636363636,0.11102489341389044
Q3,1,6,0.5,0.6000000000000001,194,0.5536889799476898,0.520618556701031,0.033070423246658875
Q3,1,7,0.6000000000000001,0.7000000000000001,87,0.6434539556503296,0.5747126436781609,0.0687413119721687
Q3,1,8,0.7000000000000001,0.8,79,0.764500920531116,0.7468354430379747,0.01766547749314129
Q3,1,9,0.8,0.9,27,0.8509627492339523,0.7777777777777778,0.07318497145617453
S1,0,1,0.0,0.1,64,0.07049866020679474,0.078125,0.007626339793205261
S1,0,2,0.1,0.2,44,0.14242099631916394,0.1590909090909091,0.01666991277174515
S1,0,3,0.2,0.30000000000000004,80,0.2575434811413288,0.325,0.06745651885867121
S1,0,4,0.30000000000000004,0.4,108,0.35581094799218355,0.3148148148148148,0.04099613317736872
S1,0,5,0.4,0.5,127,0.4565116856980512,0.4566929133858268,0.00018122768777562026
S1,0,6,0.5,0.6000000000000001,27,0.5172005571700908,0.48148148148148145,0.03571907568860938
S1,1,5,0.4,0.5,27,0.48279944282990916,0.5185185185185185,0.035719075688609325
S1,1,6,0.5,0.6000000000000001,127,0.5434883143019489,0.5433070866141733,0.00018122768777562026
S1,1,7,0.6000000000000001,0.7000000000000001,108,0.6441890520078165,0.6851851851851852,0.04099613317736872
S1,1,8,0.7000000000000001,0.8,80,0.7424565188586711,0.675,0.0674565188586711
S1,1,9,0.8,0.9,44,0.8575790036808361,0.8409090909090909,0.01666991277174512
S1,1,10,0.9,1.0,64,0.9295013397932053,0.921875,0.007626339793205261
S2,0,1,0.0,0.1,79,0.05520466007763827,0.05063291139240506,0.004571748685233211
S2,0,2,0.1,0.2,19,0.14550222848591052,0.21052631578947367,0.06502408730356316
S2,0,3,0.2,0.30000000000000004,32,0.2666127681732178,0.375,0.10838723182678223
S2,0,4,0.30000000000000004,0.4,142,0.35292857675485206,0.3591549295774648,0.006226352822612746
S2,0,5,0.4,0.5,103,0.4539563829459033,0.34951456310679613,0.10444181983910716
S2,0,6,0.5,0.6000000000000001,68,0.5525796983171912,0.6323529411764706,0.07977324285927934
S2,0,7,0.6000000000000001,0.7000000000000001,7,0.6060770664896283,1.0,0.39392293351037166
S2,1,4,0.30000000000000004,0.4,7,0.3939229335103716,0.0,0.3939229335103716
S2,1,5,0.4,0.5,68,0.44742030168280883,0.36764705882352944,0.07977324285927939
S2,1,6,0.5,0.6000000000000001,103,0.5460436170540967,0.6504854368932039,0.10444181983910727
S2,1,7,0.6000000000000001,0.7000000000000001,142,0.6470714232451479,0.6408450704225352,0.006226352822612635
S2,1,8,0.7000000000000001,0.8,32,0.7333872318267822,0.625,0.10838723182678223
S2,1,9,0.8,0.9,19,0.8544977715140895,0.7894736842105263,0.06502408730356313
S2,1,10,0.9,1.0,79,0.9447953399223618,0.9493670886075949,0.004571748685233135
S3,0,1,0.0,0.1,62,0.04783106330902347,0.06451612903225806,0.016685065723234596
S3,0,2,0.1,0.2,37,0.14283616800565976,0.08108108108108109,0.06175508692457868
S3,0,3,0.2,0.30000000000000004,73,0.2631123988595727,0.3013698630136986,0.0382574641541259
S3,0,4,0.30000000000000004,0.4,107,0.34674166964593334,0.2616822429906542,0.08505942665527916
S3,0,5,0.4,0.5,63,0.454475118054284,0.4126984126984127,0.0417767053558713
S3,0,6,0.5,0.6000000000000001,80,0.5470894046127797,0.625,0.07791059538722034
S3,0,7,0.6000000000000001,0.7000000000000001,21,0.6443989943890345,0.6190476190476191,0.025351375341415405
S3,0,8,0.7000000000000001,0.8,7,0.717529330934797,0.8571428571428571,0.1396135262080601
S3,1,3,0.2,0.30000000000000004,7,0.28247066906520296,0.14285714285714285,0.1396135262080601
S3,1,4,0.30000000000000004,0.4,21,0.3556010056109655,0.38095238095238093,0.025351375341415405
S3,1,5,0.4,0.5,80,0.4529105953872204,0.375,0.0779105953872204
S3,1,6,0.5,0.6000000000000001,63,0.545524881945716,0.5873015873015873,0.0417767053558713
S3,1,7,0.6000000000000001,0.7000000000000001,107,0.6532583303540667,0.7383177570093458,0.0850594266552791
S3,1,8,0.7000000000000001,0.8,73,0.7368876011404273,0.6986301369863014,0.0382574641541259
S3,1,9,0.8,0.9,37,0.8571638319943402,0.918918918918919,0.06175508692457876
S3,1,10,0.9,1.0,62,0.9521689366909766,0.9354838709677419,0.016685065723234693
S4,0,1,0.0,0.1,3,0.08695014317830407,0.3333333333333333,0.24638319015502924
S4,0,2,0.1,0.2,40,0.15620817095041276,0.125,0.031208170950412756
S4,0,3,0.2,0.30000000000000004,23,0.2754554878110471,0.17391304347826086,0.10154244433278625
S4,0,4,0.30000000000000004,0.4,68,0.36266589603003335,0.47058823529411764,0.10792233926408429
S4,0,5,0.4,0.5,153,0.4538354234757766,0.40522875816993464,0.048606665305841956
S4,0,6,0.5,0.6000000000000001,109,0.5356525212799738,0.5137614678899083,0.021891053390065474
S4,0,7,0.6000000000000001,0.7000000000000001,38,0.6279996649215096,0.6578947368421053,0.029895071920595706
S4,0,8,0.7000000000000001,0.8,10,0.7714494541287422,0.7,0.07144945412874226
S4,0,9,0.8,0.9,6,0.8199857845902443,1.0,0.1800142154097557
S4,1,2,0.1,0.2,6,0.18001421540975568,0.0,0.18001421540975568
S4,1,3,0.2,0.30000000000000004,10,0.22855054587125773,0.3,0.07144945412874226
S4,1,4,0.30000000000000004,0.4,38,0.3720003350784904,0.34210526315789475,0.02989507192059565
S4,1,5,0.4,0.5,109,0.4643474787200263,0.48623853211009177,0.021891053390065474
S4,1,6,0.5,0.6000000000000001,153,0.5461645765242233,0.5947712418300654,0.04860666530584201
S4,1,7,0.6000000000000001,0.7000000000000001,68,0.6373341039699667,0.5294117647058824,0.10792233926408434
S4,1,8,0.7000000000000001,0.8,23,0.7245445121889529,0.8260869565217391,0.10154244433278625
S4,1,9,0.8,0.9,40,0.8437918290495873,0.875,0.031208170950412728
S4,1,10,0.9,1.0,3,0.9130498568216959,0.6666666666666666,0.2463831901550293
